OBJECTID *,Nombre *,Tipo *,Dirección,Ciudad *,Shape *,latitud,longitud
2899,Amoblados Medellin,Hostel,"Carrera 72 9 1-99, Diego Echavarria, Belen, Medell",Medellín,Point Z,6.2170036,-75.5954829
2900,Portal del Rodeo,Hotel,"La Mota, Belen, Medellín, Antioquia",Medellín,Point Z,6.211199499999999,-75.5982571
2901,Unidad Residencial Portofino,Hostel,"Calle 14 72, Las Playas, Belen, Medellín, Antioqui",Medellín,Point Z,6.2206781,-75.59533549999999
2902,El Oasis,Hotel,"Calle 14 75 1-99, Las Playas, Belen, Medellín, Ant",Medellín,Point Z,6.220151599999999,-75.59534699999999
2903,Habitaestudios Tamaiti,Hotel,"Carrera 85C 34, Santa Teresita, La America, Medell",Medellín,Point Z,6.242923299999999,-75.6101967
2904,Hotel Malive,Hotel,"Calle 28 84 1-99, Los Alpes, Belen, Medellín, Anti",Medellín,Point Z,6.2308388,-75.60844209999999
2905,Yellow House Hostel,Hostel,"Carrera 81A 28 1-99, La Palma, Belen, Medellín, An",Medellín,Point Z,6.2293591,-75.6031233
2906,Lemon Hostel,Hostel,"Calle 32 con Carrera 79A, Miravalle, Belen, Medell",Medellín,Point Z,6.233560499999999,-75.60034759999999
2907,Belen Plaza,Hotel,"Avenida Universidad de Medellin 1-99, Belén, Belen",Medellín,Point Z,6.231151,-75.60460840000002
2908,Energy Living,Hotel,"Transversal 39 Circular 74, Laureles, Laureles-Est",Medellín,Point Z,6.244392100000001,-75.5959946
2909,Paradise,Hotel,"Avenida 33 con Calle 33 80B, Las Acacias, Laureles",Medellín,Point Z,6.2385974,-75.6021392
2910,Lobby,Hotel,"Carrera 81 34, Las Acacias, Laureles-Estadio, Mede",Medellín,Point Z,6.241348800000001,-75.60263309999999
2911,Inntu,Hotel,"Laureles, Laureles-Estadio, Medellín, Antioquia",Medellín,Point Z,6.2427589,-75.5960745
2912,Urban Buddha Hostel,Hostel,"Circular 73A Transversal 38, Laureles, Laureles-Es",Medellín,Point Z,6.2428711,-75.59535
2913,Buddha Art Boutique Hostels,Hotel,"Circular 73A Transversal 38, Laureles, Laureles-Es",Medellín,Point Z,6.2428711,-75.59535
2914,Hotel Casa Laureles 4 Estrellas,Hotel,"Avenida Calle 37 78, Laureles, Laureles-Estadio, M",Medellín,Point Z,6.241908599999999,-75.57994479999999
2915,Hotel Colonial de la 80,Hotel,"Carrera 80C 34A 21-141, Las Acacias, Laureles-Esta",Medellín,Point Z,6.241272899999999,-75.602539
2916,Hotel Villa del Marques,Hotel,"Calle 36 con Calle 36 80, Las Acacias, Laureles-Es",Medellín,Point Z,6.240963799999999,-75.60116719999999
2917,Cabañas Los Flamencos,Hotel,"Carrera 82 35, Simón Bolívar, La America, Medellín",Medellín,Point Z,6.2441736,-75.6040751
2918,Colonial,Hotel,"Las Acacias, Laureles-Estadio, Medellín, Antioquia",Medellín,Point Z,6.240963799999999,-75.60116719999999
2919,Ecolodge Bahia del Peñón,Hotel,"Carrera 80A 34, Las Acacias, Laureles-Estadio, Med",Medellín,Point Z,6.2409818,-75.60109
2920,Kuboz,Hotel,"Calle 32F 66B 142-230, Rosales, Belen, Medellín, A",Medellín,Point Z,6.2388755,-75.58866259999999
2921,Aloha,Hotel,"Conquistadores, Laureles-Estadio, Medellín, Antioq",Medellín,Point Z,6.2423547,-75.581523
2922,Kuboz,Hotel,"Avenida 33 con Avenida 33 66B, Rosales, Belen, Med",Medellín,Point Z,6.239415300000001,-75.5907477
