OBJECTID,Shape,nombre,quebrada_asociada,dominio,funcion,categoria,subcategoria,jerarquia,orden,direccion_referencia,cbml,id_zona,accion,Shape_Length,Shape_Area
1,"(4713758.666992249, 2253874.440853794)",Ecoparque La Quintana 2,Q. La Quintana,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 88 84,07120800009,29,Mantenimiento,1223.1219209136216,34174.93660169552
2,"(4714894.835791891, 2250276.3641353357)",Ecoparque La Iguana,Q. La Iguaná,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 57 65,11010290001,9,Mantenimiento,1132.874169226075,23159.849225174876
3,"(4710338.809874485, 2252829.635570108)",Ecoparque El Chagualon,Q. La Merced o El Chagualón,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 64 BH 117C,60980380244,10,Mantenimiento,885.9730990080751,23964.95513989078
4,"(4710073.107410448, 2252662.9306986798)",Ecoparque La Chaguala,Q. La Chaguala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 64 117H,60980480066,11,Mantenimiento,797.9667385956824,21606.967393361763
5,"(4711265.702843832, 2252685.050076989)",Ecoparque Mirador del Valle,Q. La Puerta o Las Hamacas,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 63 98B,60980290123,12,Mantenimiento,1285.1723963795032,53051.45104026649
6,"(4713419.079319428, 2249897.9195707277)",Ecoparque La Hueso,Q. La Hueso,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 48 74,11160020001,13,Mantenimiento,4318.231808920691,80088.62913446901
7,"(4717589.138294646, 2249317.827688383)",Ecoparque La Aguadita,Q. La Aguadita,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 36 59,08080380056,14,Mantenimiento,628.136400651184,7344.250954601164
8,"(4717613.066435501, 2252776.1518426323)",Ecoparque Bermejala Las Esmeraldas,Q. La Bermejala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 46 88,04110230001,15,Mantenimiento,512.6076043700197,4837.953788305183
9,"(4717877.008450193, 2251435.528331078)",Ecoparque El Molino,Q. El Molino o La Chorrera,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 41 77,03060080003,26,Mantenimiento,841.8384845994726,12880.582599699579
10,"(4710656.396010228, 2252455.1853274964)",Ecoparque mirador de Pajarito,Q. La Merced o el Chagualón,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 63 98B,60980290152,16,Mantenimiento,870.6026364572384,38668.520762555425
11,"(4716895.953044448, 2256152.0631211917)",Ecoparque La Madera,Q. La Madera o La Chispa,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 120 64BB,05020550001,17,Mantenimiento,912.2222066746011,13617.726906864067
12,"(4712580.297753812, 2246967.874697762)",Ecoparque Altavista,Q. Altavista,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 78A 27A,16050910001,19,Mantenimiento,651.9961442489686,6628.017905223037
