OBJECTID,Shape,nombre,label,estado,fecha_adopcion,fecha_actualizacion,Shape_Length
1,"(4715074.964116955, 2247227.873646558)",Calle 29,Calle 29,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1688.8296016860563
2,"(4713718.045674914, 2245148.291687634)",Ciclorruta Carrera 65,Carrera 65,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,424.3020699023019
3,"(4711677.835081041, 2248737.4224555227)",Ciclorruta Fase 3,Ciclorruta Fase 3,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1433.0636205240467
4,"(4715622.395321323, 2249052.339637848)",Ciclorruta Fase 3,Ciclorruta Fase 3,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,975.6515535220302
5,"(4712326.07855426, 2247333.5593407555)",Calle 30A,Calle 30A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2039.0097477705779
6,"(4713337.404211345, 2247646.036249984)",Carrera 70,Carrera 70,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,569.9839217467534
7,"(4713381.308009469, 2247986.0074327933)",Diagonal 74B,Diagonal 74B,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1607.9858272713698
8,"(4714752.233661848, 2249412.696045792)",Ciclorruta Fase 2,Calle 46,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,918.0158808111545
9,"(4716058.102842195, 2251507.4576054635)",Calle 73,Calle 73,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,379.85338962449936
10,"(4713723.00940186, 2249501.6240930413)",Carrera 70,Carrera 70,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,1620.8218599992124
11,"(4714083.249864673, 2248678.106235962)",Carrera 66B,Carrera 66B,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,363.94770436221467
12,"(4713542.545334029, 2247696.4624061706)",Carrera 69,Carrera 69,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,675.5062253008407
13,"(4713549.888747923, 2243631.139142064)",Calle 12 Sur,Calle 12 Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1366.984584644477
14,"(4712833.935739077, 2244356.6831445745)",Calle 6 Sur,Calle 6 Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2270.907486445613
15,"(4714815.5227981815, 2246203.2881819964)",Calle 20 - 19,Calle 20 - 19,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2372.7616958826857
