OBJECTID,Shape,actuacion,tramo,nombre,fecha_adopcion,fecha_actualizacion,Shape_Length
1,"(4716111.922535565, 2250160.293627629)",Recuperación,Calle 54 y la Calle 64,Av. Juan del Corral (Carrera 51D),2014-12-17 00:00:00,2014-12-17 00:00:00,894.5366740015545
2,"(4710734.844659457, 2249928.98087332)",Mantenimiento,Calle San Juan y la Calle 40,Quebrada La Salada,2014-12-17 00:00:00,2014-12-17 00:00:00,332.13519727927354
3,"(4713279.745090966, 2249317.9404497137)",Generación,1er parque de Laureles y Calle 47D,Carrera 73,2014-12-17 00:00:00,2014-12-17 00:00:00,992.619345430906
4,"(4713163.2770750625, 2248113.3829346504)",Recuperación,Sistema vial del Río y la Carrera 84,Av. 33,2014-12-17 00:00:00,2014-12-17 00:00:00,3399.9738234904094
5,"(4713665.402632455, 2248268.736336306)",Mantenimiento,Sistema vial del Río y la Carrera 76,Av. Bolivariana,2014-12-17 00:00:00,2014-12-17 00:00:00,2406.9851421446756
6,"(4712660.630679961, 2249402.96576622)",Recuperación,Sistema del Río y la Carrera 97,Calle San Juan (Calle 44),2014-12-17 00:00:00,2014-12-17 00:00:00,3831.1144129937697
7,"(4716103.31669924, 2249231.746952968)",Recuperación,Glorieta San Diego y Fatelares,Av. Oriental  y Calle 58,2014-12-17 00:00:00,2014-12-17 00:00:00,3230.542580453213
8,"(4712980.030659059, 2248726.7186296983)",Recuperación,Glorieta Bulerías y Calle San Juan,Av. Nutibara,2014-12-17 00:00:00,2014-12-17 00:00:00,1617.4242226722693
9,"(4713776.058688417, 2249655.327416505)",Recuperación,Calle Colombia (Cl 50) y la Circular 1a,Carrera 70 (Tramo 1),2014-12-17 00:00:00,2014-12-17 00:00:00,1954.2194208191913
10,"(4713544.841663792, 2248594.3514690227)",Mantenimiento,Av. Nutibara y Av. Bolivariana,Circular 1a,2014-12-17 00:00:00,2014-12-17 00:00:00,986.636179199103
11,"(4712761.918250511, 2248245.734359393)",Recuperación,Quebrada La Picacha y 2o Parque Laureles,Carrera 76,2014-12-17 00:00:00,2014-12-17 00:00:00,1046.6210858208035
12,"(4715198.52278638, 2249184.869305543)",Recuperación,Glorieta Fatelares y de Exposiciones,Av. Alfonso López (Av. del Ferrocarril),2014-12-17 00:00:00,2014-12-17 00:00:00,2121.537752895212
13,"(4717457.832737594, 2244799.00489839)",Recuperación,Carrera 43 A y el límite del perímetro urbano,Carretera Las Palmas,2014-12-17 00:00:00,2014-12-17 00:00:00,12141.963095229985
14,"(4715457.12808871, 2244869.4637637665)",Mantenimiento,Calle 37 y Quebrada La Zúñiga,Av. San Diego – El Poblado (Carrera 43A),2014-12-17 00:00:00,2014-12-17 00:00:00,6137.6425782243605
15,"(4712378.173789755, 2250032.479998993)",Generación,Sistema vial del Río y la Carrera 108,Quebrada La Hueso,2014-12-17 00:00:00,2014-12-17 00:00:00,5495.640905917927
16,"(4713068.189503445, 2247964.875697596)",Mantenimiento,Sistema del Río y Carrera 83,Quebrada La Picacha,2014-12-17 00:00:00,2014-12-17 00:00:00,4128.64435508205
17,"(4711856.198270744, 2250349.6761356406)",Generación,Quebrada La Hueso y la Carrera 100,Quebrada La Pelahueso,2014-12-17 00:00:00,2014-12-17 00:00:00,1156.3590982572866
18,"(4714033.85982538, 2250783.244944769)",Generación,Sistema del Río y la Av 80-81,Quebrada La Iguaná,2014-12-17 00:00:00,2014-12-17 00:00:00,2788.9116524869632
19,"(4712682.444601677, 2249718.800187255)",Generación,Calle 47D y la Calle San Juan,Quebrada Ana Díaz,2014-12-17 00:00:00,2014-12-17 00:00:00,996.0710450176786
20,"(4715218.409847645, 2248871.498763753)",Generación,Av. Oriental y el Sistema del Río,Calle San Juan,2014-12-17 00:00:00,2014-12-17 00:00:00,1448.7710081529287
21,"(4715918.307476683, 2249406.322124882)",Mantenimiento,Parque de la República (Calle 68) y la Calle 32,Bulevar Línea A del Metro,2014-12-17 00:00:00,2014-12-17 00:00:00,4097.34660890348
22,"(4715342.920139699, 2249152.713184159)",Mantenimiento,Sistema vial del Río y la Carrera Palacé (Cr 50),Bulevar Línea B del Metro,2014-12-17 00:00:00,2014-12-17 00:00:00,1233.195641857366
23,"(4715289.015648546, 2248056.3220560323)",Generación,Glorieta San Diego y el Sistema vial del Río,Calle 37,2014-12-17 00:00:00,2014-12-17 00:00:00,900.2845423721541
24,"(4714927.480532175, 2244777.2014239156)",Generación,Calle 29 y la Quebrada La Zúñiga,Av. Industriales - Las Vegas,2014-12-17 00:00:00,2014-12-17 00:00:00,4913.221567703686
25,"(4716851.548670881, 2251346.400030176)",Generación,Carrera 45 y Carrera 52,Calle 73,2014-12-17 00:00:00,2014-12-17 00:00:00,1350.1199973602409
26,"(4706812.889240983, 2241487.6427546064)",Mantenimiento,Calle 48 Sur entre Cra 84 y Cra 58,Calle 48 Sur,2014-12-17 00:00:00,2014-12-17 00:00:00,2761.695669777313
27,"(4706626.871458873, 2241090.3424924384)",Generación,Cabecera del Corregimiento,Vía Nueva a San Antonio de Prado,2014-12-17 00:00:00,2014-12-17 00:00:00,2450.7232179851408
28,"(4717051.772434872, 2253069.7129644486)",Recuperación,Carrera 52 y Carrera 46,Calle 93 - 92,2014-12-17 00:00:00,2014-12-17 00:00:00,2294.0017493651726
29,"(4714580.441809021, 2246844.055885101)",Mantenimiento,Carrera 70 y Calle 1 Sur,Paralelas Quebrada La Guayabala,2014-12-17 00:00:00,2014-12-17 00:00:00,1194.8856753324949
30,"(4712473.437985482, 2246766.5690427106)",Generación,Río Medellín (Aburrá) y prolongación Carrera 89,Paralelas Quebrada Altavista,2014-12-17 00:00:00,2014-12-17 00:00:00,2836.0458213682336
31,"(4713195.898293187, 2246986.8036753614)",Generación,Río Medellín (Aburrá) y prolongación Carrera 89,Paralelas Quebrada Altavista,2014-12-17 00:00:00,2014-12-17 00:00:00,4496.678224874198
32,"(4715177.11840019, 2248309.060392195)",Recuperación,Quebradas La Zuñiga y La Madera,Corredor del Río Medellín (Río Aburrá),2014-12-17 00:00:00,2014-12-17 00:00:00,12129.130947313812
33,"(4715443.471214523, 2249767.7952175327)",Recuperación,Quebradas La Zuñiga y La Madera,Corredor del Río Medellín (Río Aburrá),2014-12-17 00:00:00,2014-12-17 00:00:00,13998.388748282201
34,"(4717972.17975974, 2254136.5802869224)",Generación,Longitudinal Oriental,Longitudinal Oriental,2014-12-17 00:00:00,2014-12-17 00:00:00,3532.8048008391274
35,"(4718485.011995591, 2249932.168999252)",Generación,Longitudinal Oriental,Longitudinal Oriental,2014-12-17 00:00:00,2014-12-17 00:00:00,6416.1189641254405
36,"(4717386.13151982, 2243329.1537151453)",Generación,Longitudinal Oriental,Longitudinal Oriental,2014-12-17 00:00:00,2014-12-17 00:00:00,5055.103490780008
37,"(4711200.531503137, 2247617.9034043127)",Generación,Longitudinal Occidental,Longitudinal Occidental,2014-12-17 00:00:00,2014-12-17 00:00:00,7001.467308156928
38,"(4710883.776911764, 2248591.8981929305)",Generación,Longitudinal Occidental,Longitudinal Occidental,2014-12-17 00:00:00,2014-12-17 00:00:00,481.6323744307917
39,"(4712252.429782905, 2243470.880497563)",Generación,Longitudinal Occidental,Longitudinal Occidental,2014-12-17 00:00:00,2014-12-17 00:00:00,3844.11548015263
40,"(4711176.35081471, 2247578.5763886375)",Generación,Longitudinal Occidental,Longitudinal Occidental,2014-12-17 00:00:00,2014-12-17 00:00:00,445.25611940324865
41,"(4712772.534768221, 2252565.015806044)",Generación,Longitudinal Occidental,Longitudinal Occidental,2014-12-17 00:00:00,2014-12-17 00:00:00,10249.418866969821
42,"(4715429.332873837, 2246008.1086019455)",Generación,Longitudinal Occidental,Longitudinal Occidental,2014-12-17 00:00:00,2014-12-17 00:00:00,1888.1576314735673
43,"(4710857.184079045, 2246190.718196295)",Generación,Paralelas Quebrada Altavista,Paralelas Quebrada Altavista,2014-12-17 00:00:00,2014-12-17 00:00:00,1117.880269758973
44,"(4710513.394909517, 2246383.2772180787)",Generación,Paralelas Quebrada Altavista,Paralelas Quebrada Altavista,2014-12-17 00:00:00,2014-12-17 00:00:00,2774.1924751417287
45,"(4710719.44476016, 2247779.626905596)",Mantenimiento,Sistema del Río y Carrera 83,Quebrada La Picacha,2014-12-17 00:00:00,2014-12-17 00:00:00,1101.495976889715
46,"(4710981.070590987, 2248912.651949119)",Generación,Laterales a la Quebrada Ana Díaz,Laterales Quebrada Ana Díaz,2014-12-17 00:00:00,2014-12-17 00:00:00,3068.867235792173
47,"(4710301.106866685, 2249147.7988052615)",Generación,Laterales a la Quebrada Ana Díaz,Laterales Quebrada Ana Díaz,2014-12-17 00:00:00,2014-12-17 00:00:00,3396.1238831582364
48,"(4709630.510541129, 2250383.3295274246)",Generación,Quebrada La Hueso y la vía a La Loma,Quebrada La Leonarda,2014-12-17 00:00:00,2014-12-17 00:00:00,1264.8637058626073
49,"(4713389.408526537, 2243709.08432401)",Generación,Sistema del Río y la Calle 104,Av. 80 - 81,2014-12-17 00:00:00,2014-12-17 00:00:00,1527.3049683139432
50,"(4712161.606440045, 2244175.3343170467)",Generación,Av. 80 - San José de Manzanillo,Calle 9 Sur,2014-12-17 00:00:00,2014-12-17 00:00:00,2730.7336637369185
51,"(4712591.107662996, 2244966.834787657)",Generación,Av. 80 - Carrera 79,Calle 1 Sur,2014-12-17 00:00:00,2014-12-17 00:00:00,761.0235736129628
52,"(4712609.780559956, 2244549.070473945)",Generación,Av. 80 y Calle 9 Sur,Quebrada Guayabala,2014-12-17 00:00:00,2014-12-17 00:00:00,835.9301833245398
53,"(4712715.035113567, 2245431.7641338077)",Generación,Av. 80 y Calle 9 Sur,Quebrada Guayabala,2014-12-17 00:00:00,2014-12-17 00:00:00,1210.1567445127464
54,"(4714821.8942719465, 2252960.113246831)",Generación,Quebrada La Quintana,Quebrada La Quintana,2014-12-17 00:00:00,2014-12-17 00:00:00,1536.5174227858508
55,"(4718400.916301581, 2252660.6399031603)",Recuperación,Límite urbano y Calle 66,Antigua vía a Guarne - Carrera 39,2014-12-17 00:00:00,2014-12-17 00:00:00,5429.139657831715
56,"(4717320.744355037, 2249398.080972221)",Mantenimiento,Carrera 46 y 36,Av. Echeverry (Calle 58),2014-12-17 00:00:00,2014-12-17 00:00:00,1929.8897352716044
57,"(4716898.136831409, 2248967.600119239)",Generación,Calle 51,Laterales Quebrada Santa Elena,2014-12-17 00:00:00,2014-12-17 00:00:00,1723.0182902129868
58,"(4718702.655753263, 2247911.965430499)",Generación,Calle 51,Laterales Quebrada Santa Elena,2014-12-17 00:00:00,2014-12-17 00:00:00,4000.369131890972
59,"(4713795.351272102, 2247816.0374141824)",Mantenimiento,Av. Bolivariana y a la Calle 30,Carrera 66B,2014-12-17 00:00:00,2014-12-17 00:00:00,1057.3873112805734
60,"(4710031.738996041, 2252461.1217203746)",Mantenimiento,Vía al Mar,Vía al Mar,2014-12-17 00:00:00,2014-12-17 00:00:00,3322.2347583665132
61,"(4703346.906856374, 2262411.5024743075)",Recuperación,Av. 80 y Limite Municipal,Carretera al Mar,2014-12-17 00:00:00,2014-12-17 00:00:00,51142.02177304095
62,"(4712634.414433887, 2255388.4235156355)",Recuperación,Carretera al mar al limite del municipio,Carretera a San Pedro,2014-12-17 00:00:00,2014-12-17 00:00:00,3611.5698391709575
63,"(4723959.833248019, 2245397.1156022176)",Recuperación,Límite Urbano y Límite Municipal,Carretera a Santa Elena,2014-12-17 00:00:00,2014-12-17 00:00:00,21013.830174729752
64,"(4712396.040185809, 2250236.490944206)",Mantenimiento,Calle 45 y la Avenida 80-81,Eje Carrera 82 - Calle 48A- Carrera 81A y Calle 52,2014-12-17 00:00:00,2014-12-17 00:00:00,1908.7637425039352
65,"(4715367.800072731, 2245164.9098537047)",Generación,Av. 43A y Avenida Las Vegas,Paralelas Quebrada La Poblada,2014-12-17 00:00:00,2014-12-17 00:00:00,723.6205306642888
66,"(4715463.429254006, 2244742.467381716)",Generación,Carrera 35 y Sistema Vial del Río,Paralelas Quebrada La Presidenta,2014-12-17 00:00:00,2014-12-17 00:00:00,1799.8691794519314
67,"(4713242.654894836, 2246367.4421251845)",Generación,Av. Bolivariana y la Av. 80- 81,Carrera 70 (Tramo 2),2014-12-17 00:00:00,2014-12-17 00:00:00,3151.538992168543
68,"(4714918.219781745, 2250440.104513764)",Generación,Av. 80-81 y Quebrada La Madera,Carrera 53,2014-12-17 00:00:00,2014-12-17 00:00:00,12345.105260778886
69,"(4713251.440783266, 2249622.3968602098)",Generación,Sistema del Río y la Calle 104,Av. 80 - 81,2014-12-17 00:00:00,2014-12-17 00:00:00,14424.240909113541
70,"(4711629.43261677, 2247984.9868495385)",Generación,Calle San Juan y la Calle 15A,Carrera 84 - 83,2014-12-17 00:00:00,2014-12-17 00:00:00,3102.6777234085644
71,"(4716614.3942645155, 2253052.9132877137)",Generación,Calle 58 y la Quebrada La Seca,Carrera Carabobo -Vía Moravia - Acevedo,2014-12-17 00:00:00,2014-12-17 00:00:00,6206.667520077571
72,"(4715862.396859066, 2254971.132010146)",Recuperación,Carrera 76 y Carrera 64C (Autopista Norte).,Calle 104,2014-12-17 00:00:00,2014-12-17 00:00:00,1254.9738076992876
73,"(4714466.383440026, 2252887.6849809363)",Generación,Carreras 72 A y 80,Calle 80,2014-12-17 00:00:00,2014-12-17 00:00:00,739.2217256747058
74,"(4714488.0541841155, 2252283.1026162715)",Generación,Calle 80 y Transversal 75,Carrera 72A,2014-12-17 00:00:00,2014-12-17 00:00:00,973.3979143043825
75,"(4716080.977731564, 2249559.6503121806)",Generación,Calle 51,Laterales Quebrada Santa Elena,2014-12-17 00:00:00,2014-12-17 00:00:00,2718.0632568792075
76,"(4712576.057695605, 2248704.990809268)",Mantenimiento,Carrera 84 y Circular 1a,Eje Avenida Jardín - Calle 35 - Carrera 73,2014-12-17 00:00:00,2014-12-17 00:00:00,2031.4303546991337
77,"(4714192.436835227, 2245138.691477262)",Generación,Calle 30 y el límite con Itagüí,Av. Guayabal (Carrera 52),2014-12-17 00:00:00,2014-12-17 00:00:00,4663.108750789049
78,"(4717471.765476048, 2254596.8925638106)",Mantenimiento,Calle 107 entre Carrera 52 hasta Estación Popular (Metrocable),Paseo urbano Calle 107,2014-12-17 00:00:00,2014-12-17 00:00:00,747.6496235158554
79,"(4717518.511226602, 2251957.2265086765)",Generación,Intercambio Palos Verdes y Quebrada La Bermejala,Av. Carlos Gardel (Carrera 45),2014-12-17 00:00:00,2014-12-17 00:00:00,2439.7507344557675
80,"(4714261.129166872, 2251912.4680006024)",Generación,Carrera 72A y Calle 65,Transversal 73 y Transversal 78,2014-12-17 00:00:00,2014-12-17 00:00:00,2253.610972864718
81,"(4715423.448406077, 2248528.3981872634)",Generación,Cementerio San Lorenzo y Sistema vial del Río,Calle 42,2014-12-17 00:00:00,2014-12-17 00:00:00,960.0113369371783
